Year,Households and NPISHs Final consumption expenditure (current US$)
1994,249840376955.201
1995,337822910770.711
1996,407218996472.891
1997,444599681754.133
1998,472249043901.419
1999,510328873856.189
2000,572121484751.351
2001,617471065841.189
2002,670183498597.371
2003,720800209060.32
2004,808499564022.38
2005,922685807737.24
2006,1060790840789.13
2007,1319743380639.08
2008,1658876430042.94
2009,1846393192860.75
2010,2142817368113.44
2011,2704258371287.86
2012,3097428478503.91
2013,3520087453383.43
2014,3948106222025.01
2015,4293541104608.94
2016,4486448747365.86
2017,4883976412815.67
2018,5509633753665.57
